row_id_1,row_id_2,similarity,label_1,label_2,title_clean_1,title_clean_2
train_099297,train_099300,0.9062,3,2,"U.S. Stocks, Bonds Rise, Oil, Dollar Fall (Reuters)","U.S. Stocks, Bonds Rise, Oil, Dollar Fall"
train_108252,train_108465,0.9453,0,3,"High Court to Hear ISP, Cable Dispute (AP)","Supreme Court to Hear ISP, Cable Dispute (AP)"
train_110217,train_110765,0.9688,0,0,"Cheers Greet Rescuers in Aceh, Children Suffer","Cheers Greet Rescuers in Aceh, Children Suffer"
train_046602,train_047449,0.9688,3,3,"2,500-Year-Old Pomegranate Found in Greece","2,500-Year-Old Pomegranate Found In Greece"
train_046602,train_046630,0.9453,3,3,"2,500-Year-Old Pomegranate Found in Greece","2,500-Year-Old Pomegranate Found in Greece"
train_088840,train_089084,0.9375,1,1,New Goodison contract for Moyes,Moyes signs new deal
train_061402,train_062979,0.9844,3,3,IBM tops off Power 5-based server line,IBM tops off Power 5-based server line
train_102996,train_104516,0.9453,1,1,Utah QB Smith to Turn Pro,Utah's Smith to Turn Pro
train_012120,train_012363,0.9219,1,1,Olympics Wrap: Another Doping Controversy Surfaces,Olympics Wrap: Another Doping Controversy Surfaces
train_021178,train_035177,1.0,3,3,iMac G5: Coolest Computer Ever,iMac G5: Coolest Computer Ever
train_016907,train_016992,0.9141,3,0,Dyslexia Not the Same in Every Culture (AP),Dyslexia Not the Same in Every Culture
train_011987,train_014490,0.9609,2,3,Sprint and SBC announce Wi-Fi roaming pact,"Sprint, SBC Announce Wi-Fi Roaming Pact"
train_062923,train_063091,0.9922,0,0,Some Detainees Said Returning to Terror,Some Detainees Said Returning to Terror
train_062923,train_062994,0.9219,0,0,Some Detainees Said Returning to Terror,Pentagon: Ex-Detainees Return to Terror
train_039880,train_039899,0.9141,2,2,Rate Plunge May Soften Fed Tightening (Reuters),Rate Plunge May Soften Fed Tightening
train_053390,train_053921,0.9688,2,2,UPDATE 2-US pension agency chief warns of solvency risk,UPDATE 3-US pension agency chief warns of solvency risk
train_118117,train_118122,0.9531,2,2,ADVISORY: Levi Strauss Story Withdrawn (Reuters),ADVISORY: Levi Strauss Story Withdrawn
train_019018,train_019082,0.9297,0,0,"Frances Strikes, Knocks Out Power to 4M","Frances Strikes, Knocks Out Power to 4M"
train_053299,train_053346,0.9531,0,0,Judge in London gives okay to let premature baby die,Judge in London gives okay to let premature baby die
train_116076,train_116092,0.9609,2,2,Nortel Has Third-Quarter Loss of 6 Cents on Costs (Update2),Nortel Has Third-Quarter Loss of 6 Cents on Costs (Update3)
